Date,States,Action_Buckets,Bucket_Value
2020-12-30,Delhi,41,500
2020-12-30,Jharkhand,90,500
2020-12-30,Maharashtra,292,500
2020-12-30,Nagaland,7,500
2020-12-31,Assam,76,500
2020-12-31,Delhi,41,500
2020-12-31,Jharkhand,90,500
2020-12-31,Maharashtra,292,500
2020-12-31,Nagaland,7,500
2021-01-01,Assam,76,500
2021-01-01,Delhi,41,500
2021-01-01,Jharkhand,90,500
2021-01-01,Maharashtra,292,500
2021-01-01,Nagaland,7,500
2021-01-02,Assam,76,500
2021-01-02,Delhi,41,500
2021-01-02,Jharkhand,90,500
2021-01-02,Maharashtra,292,500
2021-01-02,Nagaland,7,500
2021-01-03,Assam,76,500
2021-01-03,Delhi,41,500
2021-01-03,Jharkhand,90,500
2021-01-03,Maharashtra,292,500
2021-01-03,Nagaland,7,500
2021-01-04,Assam,76,500
2021-01-04,Delhi,41,500
2021-01-04,Jharkhand,90,500
2021-01-04,Maharashtra,292,500
2021-01-04,Nagaland,7,500
2021-01-05,Assam,76,500
2021-01-05,Delhi,41,500
2021-01-05,Jharkhand,90,500
2021-01-05,Maharashtra,292,500
2021-01-05,Nagaland,7,500
2021-01-06,Assam,76,500
2021-01-06,Delhi,41,500
2021-01-06,Jharkhand,90,500
2021-01-06,Maharashtra,292,500
2021-01-06,Nagaland,7,500
2021-01-07,Assam,76,500
2021-01-07,Delhi,41,500
2021-01-07,Jharkhand,90,500
2021-01-07,Maharashtra,292,500
2021-01-07,Nagaland,7,500
2021-01-08,Assam,76,500
2021-01-08,Delhi,41,500
2021-01-08,Jharkhand,90,500
2021-01-08,Maharashtra,292,500
2021-01-08,Nagaland,7,500
2021-01-09,Assam,76,500
2021-01-09,Delhi,41,500
2021-01-09,Jharkhand,90,500
2021-01-09,Maharashtra,292,500
2021-01-09,Nagaland,7,500
2021-01-10,Assam,76,500
2021-01-10,Delhi,41,500
2021-01-10,Jharkhand,90,500
2021-01-10,Maharashtra,292,500
2021-01-10,Nagaland,7,500
2021-01-11,Assam,76,500
2021-01-11,Delhi,41,500
2021-01-11,Jharkhand,90,500
2021-01-11,Maharashtra,292,500
2021-01-11,Nagaland,7,500
2021-01-12,Assam,76,500
2021-01-12,Delhi,41,500
2021-01-12,Jharkhand,90,500
2021-01-12,Maharashtra,292,500
2021-01-12,Nagaland,7,500
2021-01-13,Assam,76,500
2021-01-13,Delhi,41,500
2021-01-13,Jharkhand,90,500
2021-01-13,Maharashtra,292,500
2021-01-13,Nagaland,7,500
2021-01-14,Assam,76,500
2021-01-14,Delhi,41,500
2021-01-14,Jharkhand,90,500
2021-01-14,Maharashtra,292,500
2021-01-14,Nagaland,7,500
2021-01-15,Assam,76,500
2021-01-15,Delhi,41,500
2021-01-15,Jharkhand,90,500
2021-01-15,Maharashtra,292,500
2021-01-15,Nagaland,7,500
2021-01-16,Assam,76,500
2021-01-16,Delhi,41,500
2021-01-16,Jharkhand,90,500
2021-01-16,Maharashtra,292,500
2021-01-16,Nagaland,7,500
2021-01-17,Assam,76,500
2021-01-17,Delhi,41,500
2021-01-17,Jharkhand,90,500
2021-01-17,Maharashtra,292,500
2021-01-17,Nagaland,7,500
2021-01-18,Assam,76,500
2021-01-18,Delhi,41,500
2021-01-18,Jharkhand,90,500
2021-01-18,Maharashtra,292,500
2021-01-18,Nagaland,7,500
2021-01-19,Assam,76,500
2021-01-19,Delhi,41,500
2021-01-19,Jharkhand,90,500
2021-01-19,Maharashtra,292,500
2021-01-19,Nagaland,7,500
2021-01-20,Assam,76,500
2021-01-20,Delhi,41,500
2021-01-20,Jharkhand,90,500
2021-01-20,Maharashtra,292,500
2021-01-20,Nagaland,7,500
2021-01-21,Assam,76,500
2021-01-21,Delhi,41,500
2021-01-21,Jharkhand,90,500
2021-01-21,Maharashtra,292,500
2021-01-21,Nagaland,7,500
2021-01-22,Assam,76,500
2021-01-22,Delhi,41,500
2021-01-22,Jharkhand,90,500
2021-01-22,Maharashtra,292,500
2021-01-22,Nagaland,7,500
2021-01-23,Assam,76,500
2021-01-23,Delhi,41,500
2021-01-23,Jharkhand,90,500
2021-01-23,Maharashtra,292,500
2021-01-23,Nagaland,7,500
2021-01-24,Assam,76,500
2021-01-24,Delhi,41,500
2021-01-24,Jharkhand,90,500
2021-01-24,Maharashtra,292,500
2021-01-24,Nagaland,7,500
2021-01-25,Assam,76,500
2021-01-25,Delhi,41,500
2021-01-25,Jharkhand,90,500
2021-01-25,Maharashtra,292,500
2021-01-25,Nagaland,7,500
2021-01-26,Assam,76,500
2021-01-26,Delhi,41,500
2021-01-26,Jharkhand,90,500
2021-01-26,Maharashtra,292,500
2021-01-26,Nagaland,7,500
2021-01-27,Assam,76,500
2021-01-27,Delhi,41,500
2021-01-27,Jharkhand,90,500
2021-01-27,Maharashtra,292,500
2021-01-27,Nagaland,7,500
2021-01-28,Assam,76,500
2021-01-28,Delhi,41,500
2021-01-28,Jharkhand,90,500
2021-01-28,Maharashtra,292,500
2021-01-28,Nagaland,7,500
2021-01-29,Assam,76,500
2021-01-29,Delhi,41,500
2021-01-29,Jharkhand,90,500
2021-01-29,Maharashtra,292,500
2021-01-29,Nagaland,7,500
2021-01-30,Assam,76,500
2021-01-30,Delhi,41,500
2021-01-30,Jharkhand,90,500
2021-01-30,Maharashtra,292,500
2021-01-30,Nagaland,7,500
2021-01-31,Assam,76,500
2021-01-31,Delhi,41,500
2021-01-31,Jharkhand,90,500
2021-01-31,Maharashtra,292,500
2021-01-31,Nagaland,7,500
