"Date","State...UT","Confirmed.cases","Deceased.cases","Recovered.Cases","Susceptible","Death.Rate","Recovery.Rate","Overall.Hospital.Beds","Overall.ICU.Beds","Ventilators","Age.Distribution","Population","Action","Reward","Percentage.Distribution"
"2020-12-20","Assam",405876.0886668,3661.45403626933,236283.657016723,30799699.9113332,0.0422295707084202,2.72518985692323,24178,1209,604,4127732,31205576,153,55.65,16.1155615959746
"2020-12-20","Delhi",683138.8021423,7306.07895204849,559411.337480898,16104802.1978577,0.0858745135019783,6.57523368813224,39455,1973,986,2343806,16787941,76,54.49,8.42663832952027
"2020-12-20","Jharkhand",179545.3846162,1714.06836376089,117647.500183708,32808588.6153838,0.0510818698484598,3.50607619826485,26496,1325,662,4528093,32988134,181,38.025,17.166687734956
"2020-12-20","Maharashtra",2928538.19287001,28737.3953919032,1951722.3225087,109445794.80713,0.0492682228984421,3.34608927183137,231739,11587,5793,19912066,112374333,585,19.2385,57.2661569012784
"2020-12-20","Nagaland",19630.1522379499,194.508943384961,12490.3576074302,1958871.84776205,0.0416701326237362,2.67584024138888,2561,128,64,211983,1978502,15,75.9,1.02495543827081
"2020-12-21","Assam",437559.312798999,3871.25606200763,240956.21159992,30768016.687201,0.0385053121321453,2.3966624757502,24178,1209,604,4127732,31205576,153,55.81,16.1136779396012
"2020-12-21","Delhi",693055.187657099,7398.88197635721,563760.502400851,16094885.8123429,0.0832122290898801,6.34038605123178,39455,1973,986,2343806,16787941,76,54.7,8.42913630382405
"2020-12-21","Jharkhand",189569.521999501,1784.97918999213,119434.646773415,32798564.4780005,0.0469442097097493,3.14108149617461,26496,1325,662,4528093,32988134,181,38.02,17.1771066771292
"2020-12-21","Maharashtra",3050516.887481,29704.2557093926,1982235.734688,109323816.112519,0.0465539679085788,3.10665716329407,231739,11587,5793,19912066,112374333,585,19.2385,57.2545439595434
"2020-12-21","Nagaland",20309.5996844801,200.49193490853,12730.8597620635,1958192.40031552,0.0404617267732105,2.56924334395636,2561,128,64,211983,1978502,15,75.9,1.02553511990211
"2020-12-22","Assam",474255.1628411,4114.38452249748,246374.031837868,30731320.8371589,0.0352961661899607,2.11357463676279,24178,1209,604,4127732,31205576,153,55.81,16.1106934156061
"2020-12-22","Delhi",703412.134511501,7495.8354739379,568305.752100974,16084528.8654885,0.0806670894885021,6.11587208936912,39455,1973,986,2343806,16787941,76,54.49,8.43220877681965
"2020-12-22","Jharkhand",200924.565542001,1865.31740191722,121459.732995931,32787209.434458,0.0432937024669051,2.81905992869139,26496,1325,662,4528093,32988134,181,38.8,17.1884795304052
"2020-12-22","Maharashtra",3183788.806945,30761.1762888518,2015613.13257104,109190544.193055,0.0440756803274197,2.88804040719166,231739,11587,5793,19912066,112374333,584,23.952,57.2424267313116
"2020-12-22","Nagaland",21030.5974608201,206.841876007665,12986.1606502777,1957471.40253918,0.0393239529412766,2.46887709663034,2561,128,64,211983,1978502,15,75.95,1.02619154585744
"2020-12-23","Assam",516744.065662298,4396.07411456953,252655.233269106,30688831.9343377,0.0325310059127573,1.86965202886967,24178,1209,604,4127732,31205576,153,56.065,16.1063627449692
"2020-12-23","Delhi",714228.5374752,7597.11797618092,573055.764132024,16073712.4625248,0.0782341034671784,5.90125151197206,39455,1973,986,2343806,16787941,76,54.23,8.43593669950293
"2020-12-23","Jharkhand",213786.2531907,1956.33132344161,123754.365084839,32774347.7468093,0.040073028425648,2.53495516348348,26496,1325,662,4528093,32988134,181,39.67,17.200900140785
"2020-12-23","Maharashtra",3329369.679768,31916.361906552,2052119.84575569,109044963.320232,0.0418129582109026,2.68843929034192,231739,11587,5793,19912066,112374333,584,23.264,57.2298658517002
"2020-12-23","Nagaland",21795.6528376001,213.580970593096,13257.1649154489,1956706.3471624,0.0382527383367249,2.37438222698043,2561,128,64,211983,1978502,15,76,1.02693456304274
"2020-12-24","Assam",565923.623468202,4722.36150856539,259936.392582593,30639652.3765318,0.0301485438371978,1.65948831160961,24178,1209,604,4127732,31205576,153,56.434,16.100396177362
"2020-12-24","Delhi",725524.021110499,7702.91548523777,578019.577058506,16062416.9788895,0.0759084563326785,5.69609960133485,39455,1973,986,2343806,16787941,77,62.468,8.44041158652921
"2020-12-24","Jharkhand",228353.2477521,2059.43313806552,126354.325774825,32759780.7522479,0.0372316156246095,2.2843061048216,26496,1325,662,4528093,32988134,181,40.62,17.2144723547419
"2020-12-24","Maharashtra",3488360.692818,33178.7294601566,2092045.08663594,108885972.307182,0.0397471690174823,2.50621018356257,231739,11587,5793,19912066,112374333,584,22.5659,57.2169445905879
"2020-12-24","Nagaland",22607.41928538,220.732745524533,13544.8314509425,1955894.58071462,0.0372442366533954,2.28541944146292,2561,128,64,211983,1978502,15,76.06,1.0277752907791
"2020-12-25","Assam",622824.725869499,5100.20128428226,268375.345085347,30582751.2741305,0.0280959739651976,1.47842531855681,24178,1209,604,4127732,31205576,160,99.89,16.0924523529584
