Date,State,Susceptible,Infected People,Recovery,Death,Bucket_Value,Vaccine %,Amount of Vaccine
2021-01-10,Delhi,15774056.41,212622.2886,705936.2026,10412.98088,300,8.2661,82661
2021-01-10,Jharkhand,31865343.62,455583.6758,288251.9903,8432.284544,300,17.1371,171371
2021-01-10,Maharashtra,102526510.5,3701914.094,3738744.896,84348.94515,300,57.6613,576613
2021-01-10,Nagaland,1931484.323,16239.22934,22251.3595,436.3377722,300,0.8065,8065
2021-01-10,Assam,26957016.18,1799455.095,841281.2477,29935.9674,400,16.129,161290
2021-01-10,Delhi,15774056.41,212622.2886,705936.2026,10412.98088,400,8.2661,82661
2021-01-10,Jharkhand,31865343.62,455583.6758,288251.9903,8432.284544,400,17.1371,171371
2021-01-10,Maharashtra,102526510.5,3701914.094,3738744.896,84348.94515,400,57.6613,576613
2021-01-10,Nagaland,1931484.323,16239.22934,22251.3595,436.3377722,400,0.8065,8065
2021-01-10,Assam,26957016.18,1799455.095,841281.2477,29935.9674,500,16.129,161290
